,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
2355,57.2051,9.77792,,2355,3685.72,562.303,,2355,1.6293,1.49979,,2355,0.017481,0.102271,,2355,743.218,238
2380,58.6979,9.12689,,2380,6057.37,498.305,,2380,1.55,1.4979,,2380,0.0170364,0.109566,,2380,749.208,246
2405,42.6686,7.95717,,2405,2360.1,437.066,,2405,1.54428,1.50728,,2405,0.0234364,0.125673,,2405,688.133,238
2430,46.2226,8.11152,,2430,2568.54,446.194,,2430,1.53827,1.49918,,2430,0.0216344,0.123281,,2430,710.645,243
2455,45.2061,9.49572,,2455,2478.14,530.782,,2455,1.55804,1.49857,,2455,0.0221209,0.105311,,2455,715.451,247
2480,57.4629,9.81089,,2480,3371.57,607.349,,2480,1.61694,1.4996,,2480,0.0174025,0.101928,,2480,828.783,259
2505,62.3058,10.6491,,2505,3899.49,679.416,,2505,1.6475,1.51257,,2505,0.0160499,0.0939046,,2505,807.281,247
2530,50.7194,9.43874,,2530,3228.01,546.646,,2530,1.57431,1.4996,,2530,0.0197163,0.105946,,2530,747.832,256
2555,47.1131,9.61213,,2555,2678.59,554.014,,2555,1.55029,1.49941,,2555,0.0212255,0.104035,,2555,750.782,255
2580,79.8345,8.69574,,2580,11281,498.097,,2580,1.61512,1.50194,,2580,0.0125259,0.114999,,2580,836.428,257
2605,49.3678,8.53589,,2605,2839.15,503.035,,2605,1.56699,1.50019,,2605,0.0202561,0.117152,,2605,787.155,262
2630,45.6745,8.4019,,2630,2632.81,507.853,,2630,1.56122,1.5019,,2630,0.021894,0.119021,,2630,742.999,261
2655,53.9171,9.06478,,2655,3566.29,525.468,,2655,1.58719,1.51977,,2655,0.018547,0.110317,,2655,785.029,259
2680,51.1504,9.45821,,2680,2915.05,552.158,,2680,1.5806,1.50746,,2680,0.0195502,0.105728,,2680,808.31,266
2705,48.6104,9.37967,,2705,2803.01,553.015,,2705,1.56044,1.51756,,2705,0.0205718,0.106614,,2705,806.082,265
2730,44.3623,9.11502,,2730,2668.3,533.136,,2730,1.54872,1.52527,,2730,0.0225417,0.109709,,2730,779.975,266
2755,50.3234,9.36915,,2755,2920.88,555.631,,2755,1.57495,1.50236,,2755,0.0198715,0.106733,,2755,823.93,274
2780,47.7626,9.18129,,2780,2765.27,558.036,,2780,1.58525,1.50576,,2780,0.0209369,0.108917,,2780,806.199,276
2805,48.59,8.57647,,2805,2832.24,510.55,,2805,1.56898,1.51337,,2805,0.0205804,0.116598,,2805,825.001,276
2830,71.8714,9.17845,,2830,7536.77,551.553,,2830,1.61943,1.51201,,2830,0.0139137,0.108951,,2830,933.392,279
2855,53.1177,8.23152,,2855,3092.49,494.375,,2855,1.5937,1.49947,,2855,0.0188261,0.121484,,2855,883.119,287
2880,50.5354,9.09028,,2880,2995.33,545.551,,2880,1.57535,1.49931,,2880,0.0197881,0.110008,,2880,863.425,288
2905,52.3136,9.63821,,2905,3396.91,582.375,,2905,1.57384,1.50017,,2905,0.0191155,0.103754,,2905,887.734,292
2930,46.9195,9.33208,,2930,2843.45,576.603,,2930,1.55563,1.50683,,2930,0.0213131,0.107157,,2930,852.859,290
2955,59.2108,8.84636,,2955,3969.74,543.061,,2955,1.62335,1.50626,,2955,0.0168888,0.113041,,2955,936.412,293
2980,56.0295,8.34161,,2980,3439.91,521.736,,2980,1.61342,1.49899,,2980,0.0178477,0.119881,,2980,928.814,304
3005,52.7012,9.52246,,3005,3675.79,587.567,,3005,1.60433,1.51847,,3005,0.0189749,0.105015,,3005,888.167,294
3030,47.7043,8.0571,,3030,2906.85,499.693,,3030,1.56799,1.51386,,3030,0.0209625,0.124114,,3030,893.376,298
3055,48.7152,8.42586,,3055,2950.54,525.704,,3055,1.59836,1.54173,,3055,0.0205275,0.118682,,3055,880.132,291
3080,50.0714,9.08506,,3080,3000.16,568.662,,3080,1.6013,1.49935,,3080,0.0199715,0.110071,,3080,958.458,312
3105,59.3227,8.7475,,3105,5842.31,554.699,,3105,1.61675,1.49952,,3105,0.016857,0.114318,,3105,943.583,311
3130,53.7316,9.54281,,3130,3316.84,618.89,,3130,1.61086,1.50096,,3130,0.018611,0.104791,,3130,960.955,312
3155,45.9395,9.5607,,3155,2892.48,606.442,,3155,1.54422,1.50523,,3155,0.0217678,0.104595,,3155,923.325,312
3180,61.2748,9.21289,,3180,5199.83,581.954,,3180,1.6195,1.49874,,3180,0.0163199,0.108544,,3180,1012.18,323
3205,49.3367,9.25741,,3205,3044.87,593.877,,3205,1.57847,1.49891,,3205,0.0202689,0.108022,,3205,971.076,329
3230,61.4774,9.67492,,3230,5018.06,617.443,,3230,1.63684,1.49938,,3230,0.0162661,0.10336,,3230,1034.35,330
3255,53.439,9.28326,,3255,3359.12,595.964,,3255,1.59478,1.5361,,3255,0.0187129,0.107721,,3255,969.495,314
3280,45.7582,9.53506,,3280,3730.92,616.353,,3280,1.51524,1.49817,,3280,0.021854,0.104876,,3280,926.993,331
3305,52.4708,9.28351,,3305,5289.92,621.617,,3305,1.57005,1.52103,,3305,0.0190582,0.107718,,3305,990.374,324
3330,56.6931,9.22162,,3330,3552.28,600.541,,3330,1.62132,1.4985,,3330,0.0176388,0.108441,,3330,1087.51,335
3355,49.4727,9.3079,,3355,3125.79,609.285,,3355,1.59851,1.52459,,3355,0.0202132,0.107436,,3355,997.196,327
3380,52.2766,9.05562,,3380,3373.9,589.534,,3380,1.61805,1.50621,,3380,0.019129,0.110429,,3380,1032.99,336
3405,48.1407,8.85051,,3405,3625.03,587.547,,3405,1.56476,1.53598,,3405,0.0207725,0.112988,,3405,1002.87,328
3430,94.1802,9.72478,,3430,24316.2,666.188,,3430,1.51633,1.49913,,3430,0.0106179,0.10283,,3430,1087.31,345
3455,55.9242,8.88625,,3455,3585.31,592.353,,3455,1.63039,1.49986,,3455,0.0178814,0.112533,,3455,1102.63,346
3480,63.1848,8.63879,,3480,4368.95,578.335,,3480,1.64167,1.49914,,3480,0.0158266,0.115757,,3480,1134.09,356
3505,55.2562,8.09044,,3505,3657.95,536.212,,3505,1.59144,1.49986,,3505,0.0180975,0.123603,,3505,1139.64,364
3530,66.4963,9.06034,,3530,5848.3,607.557,,3530,1.63711,1.49915,,3530,0.0150384,0.110371,,3530,1162.29,356
3555,46.1108,9.12433,,3555,3075.39,612.608,,3555,1.54909,1.50914,,3555,0.0216869,0.109597,,3555,1016.29,352
3580,53.6257,9.39832,,3580,3932.21,635.231,,3580,1.61145,1.5,,3580,0.0186478,0.106402,,3580,1109.03,362
3605,53.8491,9.79196,,3605,3997.72,682.078,,3605,1.61248,1.51817,,3605,0.0185704,0.102125,,3605,1097.53,353
3630,57.868,8.70909,,3630,4218.6,590.064,,3630,1.5978,1.49917,,3630,0.0172807,0.114823,,3630,1175.65,373
3655,59.4517,8.17264,,3655,4726.44,568.047,,3655,1.60383,1.50014,,3655,0.0168204,0.122359,,3655,1177.7,378
3680,49.9981,9.86821,,3680,3330.56,680.467,,3680,1.59239,1.49918,,3680,0.0200008,0.101336,,3680,1125.71,376
3705,54.2548,9.07719,,3705,3630.64,622.395,,3705,1.59757,1.51633,,3705,0.0184316,0.110166,,3705,1110.34,363
3730,59.0646,9.46863,,3730,4010.06,672.632,,3730,1.62386,1.53378,,3730,0.0169306,0.105612,,3730,1144.24,356
3755,52.0602,8.62184,,3755,3492.37,609.381,,3755,1.6024,1.52197,,3755,0.0192085,0.115985,,3755,1136.64,366
3780,60.4984,8.95926,,3780,4492.37,618.789,,3780,1.62778,1.49974,,3780,0.0165294,0.111616,,3780,1220.55,380
3805,54.698,9.89803,,3805,3728.19,704.498,,3805,1.61603,1.49961,,3805,0.0182822,0.10103,,3805,1153.4,380
3830,49.5723,9.12141,,3830,3384.59,635.645,,3830,1.58016,1.50705,,3830,0.0201725,0.109632,,3830,1139.83,380
3855,60.0685,8.21219,,3855,5546.5,580.26,,3855,1.61038,1.53074,,3855,0.0166477,0.12177,,3855,1196.06,372
3880,53.6827,8.83196,,3880,3749.6,623.633,,3880,1.6018,1.50825,,3880,0.018628,0.113225,,3880,1185.69,383
3905,56.2013,9.42689,,3905,3973.16,763.32,,3905,1.61536,1.49834,,3905,0.0177932,0.10608,,3905,1235.58,390
3930,62.6975,9.30051,,3930,6455.04,652.9,,3930,1.62646,1.51552,,3930,0.0159496,0.107521,,3930,1231.35,387
3955,52.7451,8.53325,,3955,3659.06,626.226,,3955,1.59646,1.51302,,3955,0.0189591,0.117189,,3955,1182.83,387
3980,50.5035,9.58719,,3980,3477.32,678.605,,3980,1.59422,1.50452,,3980,0.0198006,0.104306,,3980,1190.75,396
4005,49.2637,8.42722,,4005,3460.34,598.718,,4005,1.57203,1.49888,,4005,0.0202989,0.118663,,4005,1217.61,410
