#Processes;Avg_FT_RRA;l2Norm_RRA;Avg_CS_RRA;Avg_TP_RRA;Avg_TQ_RRA
11530;8.38985;1044.33;1.49983;0.119192;1166
11555;8.34513;1033.46;1.49961;0.11983;1177
11580;6.62358;858.199;1.51623;0.150976;1140
11605;8.46592;1037.5;1.50151;0.118121;1158
11630;8.66827;1081.47;1.50292;0.115363;1158
11655;8.41982;1049.56;1.4997;0.118767;1171
11680;7.52098;906.2;1.49983;0.132961;1181
11705;9.02648;1180.55;1.50167;0.110785;1168
11730;8.67911;1109.97;1.50222;0.115219;1170
11755;8.41838;1086.17;1.49996;0.118788;1176
11780;8.53294;1073.1;1.49966;0.117193;1178
11805;8.05227;988.323;1.5003;0.124189;1179
11830;8.09366;992.077;1.49966;0.123553;1188
11855;8.13522;996.914;1.49996;0.122922;1195
11880;8.05758;988.62;1.50842;0.124107;1177
11905;8.16842;1015.12;1.50995;0.122423;1176
11930;8.23663;1035.09;1.4995;0.121409;1206
11955;8.41489;1067.61;1.50724;0.118837;1185
11980;7.92095;1011.46;1.5;0.126247;1215
12005;10.0436;1367.64;1.50562;0.0995654;1193
12030;9.21355;1198.77;1.5;0.108536;1206
12055;6.44662;800.072;1.50004;0.15512;1209
12080;8.6899;1143.94;1.50596;0.115076;1200
12105;8.50731;1075.48;1.50343;0.117546;1207
12130;7.96059;988.256;1.51022;0.125619;1199
12155;7.92431;980.369;1.49988;0.126194;1225
12180;8.43235;1089.87;1.5;0.118591;1229
12205;8.63794;1116.26;1.4998;0.115768;1228
12230;8.33197;1078.42;1.51177;0.12002;1210
12255;7.47475;989.042;1.49971;0.133784;1237
12280;8.26336;1052.52;1.50831;0.121016;1219
12305;7.86339;980.321;1.4998;0.127172;1246
12330;8.54891;1113.41;1.50519;0.116974;1226
12355;8.64986;1112.9;1.5121;0.115609;1219
12380;8.96187;1201.85;1.50258;0.111584;1234
12405;8.30399;1053.72;1.5006;0.120424;1239
12430;8.22985;1046.42;1.4996;0.121509;1264
12455;8.29667;1060.61;1.50389;0.12053;1240
12480;7.49223;931.402;1.5;0.133472;1262
